"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities"
"Agriculture, forestry and fishing","Forestry and logging"
"Agriculture, forestry and fishing","Fishing and aquaculture"
"Mining and quarrying","Mining of coal and lignite"
"Mining and quarrying","Extraction of crude petroleum and natural gas"
"Mining and quarrying","Mining of metal ores"
"Mining and quarrying","Other mining and quarrying"
"Mining and quarrying","Mining support service activities"
"Manufacturing","Manufacture of food products"
"Manufacturing","Manufacture of beverages"
"Manufacturing","Manufacture of tobacco products"
"Manufacturing","Manufacture of textiles"
"Manufacturing","Manufacture of wearing apparel"
"Manufacturing","Manufacture of leather and related products"
"Manufacturing","Manufacture of wood and of products of wood and cork, except furniture"
"Manufacturing","Manufacture of articles of straw and plaiting materials"
"Manufacturing","Manufacture of paper and paper products"
"Manufacturing","Printing and reproduction of recorded media"
"Manufacturing","Manufacture of coke and refined petroleum products"
"Manufacturing","Manufacture of chemicals and chemical products"
"Manufacturing","Manufacture of pharmaceuticals, medicinal chemical and botanical products"
"Manufacturing","Manufacture of rubber and plastics products"
"Manufacturing","Manufacture of other non-metallic mineral products"
"Manufacturing","Manufacture of basic metals"
"Manufacturing","Manufacture of fabricated metal products, except machinery and equipment"
"Manufacturing","Manufacture of computer, electronic and optical products"
"Manufacturing","Manufacture of electrical equipment"
"Manufacturing","Manufacture of machinery and equipment n.e.c."
"Manufacturing","Manufacture of motor vehicles, trailers and semi-trailers"
"Manufacturing","Manufacture of other transport equipment"
"Manufacturing","Manufacture of furniture"
"Manufacturing","Other manufacturing"
"Manufacturing","Repair and installation of machinery and equipment"
"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply"
"Water supply; sewerage, waste management and remediation activities","Water collection, treatment and supply"
"Water supply; sewerage, waste management and remediation activities","Sewerage"
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery"
"Water supply; sewerage, waste management and remediation activities","Remediation activities and other waste management services"
"Construction","Construction of buildings"
"Construction","Civil engineering"
"Construction","Specialized construction activities"
"Wholesale and retail trade; repair of motor vehicles and motorcycles","Wholesale and retail trade and repair of motor vehicles and motorcycles"
"Wholesale and retail trade; repair of motor vehicles and motorcycles","Wholesale trade, except of motor vehicles and motorcycles"
"Wholesale and retail trade; repair of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles"
"Transportation and storage","Land transport and transport via pipelines"
"Transportation and storage","Water transport"
"Transportation and storage","Air transport"
"Transportation and storage","Warehousing and support activities for transportation"
"Transportation and storage","Postal and courier activities"
"Accommodation and food service activities","Accommodation"
"Accommodation and food service activities","Food and beverage service activities"
"Information and communication","Publishing activities"
"Information and communication","Motion picture, video and television programme production, sound recording and music publishing activities"
"Information and communication","Programming and broadcasting activities"
"Information and communication","Telecommunications"
"Information and communication","Computer programming, consultancy and related activities"
"Information and communication","Information service activities"
"Financial and insurance activities","Financial service activities, except insurance and pension funding"
"Financial and insurance activities","Insurance, reinsurance and pension funding, except compulsory social security"
"Financial and insurance activities","Activities auxiliary to financial service and insurance activities"
"Real estate activities","Real estate activities"
"Professional, scientific and technical activities","Legal and accounting activities"
"Professional, scientific and technical activities","Activities of head offices; management consultancy activities"
"Professional, scientific and technical activities","Architectural and engineering activities; technical testing and analysis"
"Professional, scientific and technical activities","Scientific research and development"
"Professional, scientific and technical activities","Advertising and market research"
"Professional, scientific and technical activities","Other professional, scientific and technical activities"
"Professional, scientific and technical activities","Veterinary activities"
"Administrative and support service activities","Rental and leasing activities"
"Administrative and support service activities","Employment activities"
"Administrative and support service activities","Travel agency, tour operator, reservation service and related activities"
"Administrative and support service activities","Security and investigation activities"
"Administrative and support service activities","Services to buildings and landscape activities"
"Administrative and support service activities","Office administrative, office support and other business support activities"
"Public administration and defence; compulsory social security","Public administration and defence; compulsory social security"
"Education","Education"
"Human health and social work activities","Human health activities"
"Human health and social work activities","Residential care activities"
"Human health and social work activities","Social work activities without accommodation"
"Arts, entertainment and recreation","Creative, arts and entertainment activities"
"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities"
"Arts, entertainment and recreation","Gambling and betting activities"
"Arts, entertainment and recreation","Sports activities and amusement and recreation activities"
"Other service activities","Activities of membership organizations"
"Other service activities","Repair of computers and personal and household goods"
"Other service activities","Other personal service activities"
"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Activities of households as employers of domestic personnel"
"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Undifferentiated goods- and services-producing activities of private households for own use"
"Activities of extraterritorial organizations and bodies","Activities of extraterritorial organizations and bodies"
